8206325,complete ratio: [0.93271462 0.80606061 0.5136612 ], critic loss: 24.239042032571486, actor loss: 1.060442184892257
load ratio std: 0.08315767793212353, task latency mean: 20.76340683847464,complete ratio: [0.9009434  0.66776316 0.52112676], critic loss: 25.655607995408296, actor loss: 1.4000322568956536
load ratio std: 0.08096545070524613, task latency mean: 19.785415599205674,complete ratio: [0.95614035 0.71061093 0.45408163], critic loss: 25.571164175519268, actor loss: 2.288576152808262
load ratio std: 0.11672127713549357, task latency mean: 20.293686260807377,complete ratio: [0.95730337 0.72240803 0.47263682], critic loss: 25.76743992068407, actor loss: 3.7109922495707024
load ratio std: 0.08106856716448922, task latency mean: 21.610558536210664,complete ratio: [0.87528345 0.816609   0.49494949], critic loss: 26.52964737182025, actor loss: 4.955295726540852
load ratio std: 0.08120288083176051, task latency mean: 17.371768918858738,complete ratio: [0.94193548 0.86458333 0.52820513], critic loss: 26.672835704242857, actor loss: 1.767666458936186
load ratio std: 0.07815874952565047, task latency mean: 21.2419065335736,complete ratio: [0.91162791 0.75384615 0.52331606], critic loss: 27.375700604350307, actor loss: 3.369744748098301
load ratio std: 0.0765376618119033, task latency mean: 19.68831645119839,complete ratio: [0.95248869 0.70689655 0.57142857], critic loss: 26.480779797690428, actor loss: 2.2067537006254327
load ratio std: 0.08011775266870147, task latency mean: 22.679448902072842,complete ratio: [0.92027335 0.70979021 0.48325359], critic loss: 26.613960731473377, actor loss: 5.674729823752374
load ratio std: 0.08500119170924, task latency mean: 19.969388159384103,complete ratio: [0.93417722 0.76949153 0.50251256], critic loss: 27.190883123497247, actor loss: 7.139472196786753
load ratio std: 0.08368087409838997, task latency mean: 17.152520055721613,complete ratio: [0.89324619 0.84693878 0.59512195], critic loss: 26.91662870094219, actor loss: 1.9517694971987876
load ratio std: 0.11814575096527448, task latency mean: 22.560360289409928,complete ratio: [0.92705882 0.74817518 0.46268657], critic loss: 29.029372112734404, actor loss: 3.935246661264087
load ratio std: 0.07680201849175797, task latency mean: 21.278882911297217,complete ratio: [0.92224622 0.66666667 0.56122449], critic loss: 28.0356322235587, actor loss: 2.279177356841611
load ratio std: 4.586902876158054, task latency mean: 18.99290097088473,complete ratio: [0.95064378 0.68634686 0.63535912], critic loss: 26.0315563508698, actor loss: 6.000008330712556
load ratio std: 0.0811264959589228, task latency mean: 18.171431285955823,complete ratio: [0.96675192 0.79259259 0.51176471], critic loss: 24.282254598039096, actor loss: 2.1717080656042635
load ratio std: 0.08562690324486978, task latency mean: 20.03159045653349,complete ratio: [0.93227991 0.74740484 0.52238806], critic loss: 22.42230771947479, actor loss: 1.3969467712644674
load ratio std: 0.08284721993363281, task latency mean: 21.905773534984274,complete ratio: [0.91885965 0.70790378 0.43396226], critic loss: 24.1374824060241, actor loss: 2.8113615603714073
load ratio std: 0.09235883587698948, task latency mean: 21.02535746785915,complete ratio: [0.89324619 0.88679245 0.51707317], critic loss: 27.649892528145585, actor loss: 5.0707425161230235
load ratio std: 0.20115481142154376, task latency mean: 19.27036353489249,complete ratio: [0.96226415 0.76530612 0.53191489], critic loss: 28.20284326226486, actor loss: 2.962097185200118
load ratio std: 0.09306007988646739, task latency mean: 21.207318982861974,complete ratio: [0.95261845 0.81180812 0.5255814 ], critic loss: 27.09358453994446, actor loss: 3.3099925726395334
load ratio std: 0.07510952712389156, task latency mean: 22.163589749403165,complete ratio: [0.92307692 0.83333333 0.546875  ], critic loss: 26.63842363587538, actor loss: 2.440698443494037
